Model,Class,Handicap,18,15,Std,Club,Double
EB 29DR,Open,123,,,,,
EB 29R,Open,123,,,,,
EB 29,Open,122,,,,,
NimEta X,Open,122,,,,,
JS1C 21m,Open,122,,,,,
JS1C TJ 21m,Open,122,,,,,
JS2 21m,Open,122,,,,,
EB 29D,Open,121,,,,,
Eta,Open,121,,,,,
Antares 23E,Open,121,,,,,
Antares 23T,Open,121,,,,,
Nixus,Open,121,,,,,
Quintus,Open,121,,,,,
EB 28,Open,121,,,,,
EB 28 edition,Open,121,,,,,
AS 33 18m,18,121,x,,,,
AS 33 Es 18m,18,121,x,,,,
AS 33 Me 18m,18,121,x,,,,
Diana-3,18,121,x,,,,
Diana-3 FES,18,121,x,,,,
JS3 18m,18,121,x,,,,
JS3 RES 18m,18,121,x,,,,
JS3 TJ 18m,18,121,x,,,,
Ventus 3 18m,18,121,x,,,,
Ventus 3T 18m,18,121,x,,,,
ASH 30 Mi,Open,120,,,,,
ASH 31 Mi 21m,Open,120,,,,,
Ventus 3F 18m,18,120,x,,,,
Ventus 3M 18m,18,120,x,,,,
ASG 29 18m,18,120,x,,,,
ASG 29 E 18m,18,120,x,,,,
ASG 29 Es 18m,18,120,x,,,,
ASG 29 RES 18m,18,120,x,,,,
JS1 18m,18,120,x,,,,
JS1 TJ 18m,18,120,x,,,,
JS2 18m,18,120,x,,,,
Ventus 2 cxa,18,120,x,,,,
Ventus 2cxa 18m,18,120,x,,,,
ASW 22 BL,Open,119,,,,,
ASW 22 BLE,Open,119,,,,,
Nimbus 4,Open,119,,,,,
Nimbus 4M,Open,119,,,,,
Nimbus 4T,Open,119,,,,,
Ventus 2cxa FES 18m,18,119,x,,,,
ASH 31 Mi 18m,18,119,x,,,,
Ventus 2cx 18m,18,119,x,,,,
Ventus 2cxM 18m,18,119,x,,,,
Ventus 2cxT 18m,18,119,x,,,,
ASH 25 >= 26m,Open,118,,,,,
ASH 25 E >= 26m,Open,118,,,,,
ASH 25 EB 28,Open,118,,,,,
